n_S, m_S, n, m, c_S, internal_density, edges_inside, average_degree, fomd, tpr, expansion, cut_ratio, conductance, normalized_cut, maximum_odf, average_odf, flake_odf, modularity, auc_score
14.0,4.0,19634.0,270970.0,420,0.04395604395604396,4.0,0.5714285714285714,0.0,0.21428571428571427,30.0,0.0015290519877675841,0.9813084112149533,0.9820828160295386,1.0,0.993262270583,1.0,-25.9125,0.432804
8.0,3.0,19634.0,270970.0,336,0.10714285714285714,3.0,0.75,0.0,0.375,42.0,0.0021400183430143687,0.9824561403508771,0.983075757884578,1.0,0.976468447129,1.0,-20.8625,0.949829
10.0,7.0,19634.0,270970.0,325,0.15555555555555556,7.0,1.4,0.1,0.2,32.5,0.0016561353444761516,0.9587020648967551,0.9593014183327101,1.0,0.9731670216,1.0,-19.7,0.505042
5.0,1.0,19634.0,270970.0,226,0.1,1.0,0.4,0.0,0.2,45.2,0.002302715370115645,0.9912280701754386,0.9916449182140394,1.0,0.991304347826,1.0,-13.9075,0.461903
15.0,1.0,19634.0,270970.0,321,0.009523809523809525,1.0,0.13333333333333333,0.0,0.06666666666666667,21.4,0.001090779346551812,0.9938080495356038,0.9944000175803942,1.0,0.997701149425,1.0,-20.0525,0.580969
4.0,1.0,19634.0,270970.0,74,0.16666666666666666,1.0,0.5,0.0,0.25,18.5,0.0009424350483953133,0.9736842105263158,0.9738207388688618,1.0,0.916666666667,1.0,-4.5725,0.326681
8.0,1.0,19634.0,270970.0,171,0.03571428571428571,1.0,0.25,0.0,0.125,21.375,0.0010891164781412412,0.9884393063583815,0.9887547410772296,1.0,0.997023809524,1.0,-10.605,0.476816
14.0,3.0,19634.0,270970.0,778,0.03296703296703297,3.0,0.42857142857142855,0.0,0.14285714285714285,55.57142857142857,0.0028323867773409057,0.9923469387755102,0.9937804799538884,1.0,0.991698424143,1.0,-48.4375,0.8001205
16.0,6.0,19634.0,270970.0,356,0.05,6.0,0.75,0.0,0.25,22.25,0.0011341625038230197,0.967391304347826,0.968047786928909,1.0,0.902521929825,1.0,-21.73,0.638507
12.0,2.0,19634.0,270970.0,511,0.030303030303030304,2.0,0.3333333333333333,0.0,0.16666666666666666,42.583333333333336,0.002170183127781742,0.9922330097087378,0.9931750372247901,1.0,0.994546532306,1.0,-31.840000000000003,0.764575
11.0,3.0,19634.0,270970.0,273,0.05454545454545454,3.0,0.5454545454545454,0.0,0.09090909090909091,24.818181818181817,0.001264749621270031,0.978494623655914,0.9789981213975514,1.0,0.993265993266,1.0,-16.79,0.499612
8.0,3.0,19634.0,270970.0,423,0.10714285714285714,3.0,0.75,0.0,0.125,52.875,0.0026941302354020176,0.986013986013986,0.9867939151012847,1.0,0.990390508343,1.0,-26.3,0.926982
10.0,0.0,19634.0,270970.0,94,0.0,0.0,0.0,0.0,0.0,9.4,0.0004790052996331023,1.0,1.0001734208555182,1.0,1.0,1.0,-5.7725,0.513654
6.0,7.0,19634.0,270970.0,560,0.4666666666666667,7.0,2.3333333333333335,0.166666666667,0.3333333333333333,93.33333333333333,0.004755111745126011,0.975609756097561,0.9766420408016824,1.0,0.980580783129,1.0,-34.3625,0.751096
12.0,8.0,19634.0,270970.0,637,0.12121212121212122,8.0,1.3333333333333333,0.0,0.3333333333333333,53.083333333333336,0.0027052967757279244,0.9754977029096478,0.9766717644437426,1.0,0.974773739905,1.0,-39.155,0.7719165
12.0,0.0,19634.0,270970.0,417,0.0,0.0,0.0,0.0,0.0,34.75,0.0017709713586790338,1.0,1.0007688662633654,1.0,1.0,1.0,-26.105,0.8075035
19.0,3.0,19634.0,270970.0,459,0.017543859649122806,3.0,0.3157894736842105,0.0,0.10526315789473684,24.157894736842106,0.0012316030964487435,0.9870967741935484,0.9879430240529676,1.0,0.981990785984,1.0,-28.6375,0.5660375
17.0,5.0,19634.0,270970.0,320,0.03676470588235294,5.0,0.5882352941176471,0.0,0.23529411764705882,18.823529411764707,0.000959551889267712,0.9696969696969697,0.9702871033991366,1.0,0.983039028988,1.0,-19.6375,0.8317895
19.0,23.0,19634.0,270970.0,1333,0.13450292397660818,23.0,2.4210526315789473,0.157894736842,0.42105263157894735,70.15789473684211,0.003576747118880556,0.9666424945612763,0.969096349027273,1.0,0.935466429742,1.0,-81.6225,0.625196
16.0,8.0,19634.0,270970.0,247,0.06666666666666667,8.0,1.0,0.0,0.3125,15.4375,0.0007869048832704659,0.9391634980988594,0.939619073922723,1.0,0.907325156149,0.9375,-14.982500000000002,0.340736
8.0,3.0,19634.0,270970.0,368,0.10714285714285714,3.0,0.75,0.0,0.375,46.0,0.002343829613777642,0.983957219251337,0.9846358079343954,1.0,0.871799036845,1.0,-22.7075,0.321273
9.0,0.0,19634.0,270970.0,89,0.0,0.0,0.0,0.0,0.0,9.88888888888889,0.0005038924274593065,1.0,1.0001641978565723,1.0,1.0,0.8888888888888888,-5.555,0.434571
9.0,1.0,19634.0,270970.0,130,0.027777777777777776,1.0,0.2222222222222222,0.0,0.1111111111111111,14.444444444444445,0.0007360226468506723,0.9848484848484849,0.985088307158601,1.0,0.992592592593,1.0,-8.0975,0.4981505
15.0,9.0,19634.0,270970.0,650,0.08571428571428572,9.0,1.2,0.0666666666667,0.26666666666666666,43.333333333333336,0.002208743225104915,0.9730538922155688,0.9742518899006687,1.0,0.982126262626,1.0,-39.7625,0.626236
